DateTime,Room,Capacity,Module,NumReg,AvgNumWifiConn,PercentageEstimate,BinaryEstimate
2015-11-03 16:00:00,B-002,90,COMP40370P1,27,39.0,0.25,1
2015-11-04 16:00:00,B-002,90,COMP30250P1,22,20.0,0.25,1
2015-11-05 16:00:00,B-002,90,COMP30520P1,60,32.6667,0.0,0
2015-11-06 16:00:00,B-002,90,None,0,20.3333,0.5,1
2015-11-09 16:00:00,B-002,90,COMP40660P1,53,72.5,0.25,1
2015-11-10 16:00:00,B-002,90,COMP40370P1,27,35.1667,0.25,1
2015-11-11 16:00:00,B-002,90,COMP30250P1,22,23.5,0.25,1
2015-11-12 16:00:00,B-002,90,COMP30520P1,60,49.8333,0.25,1
2015-11-13 16:00:00,B-002,90,None,0,8.6667,0.25,1
2015-11-03 09:00:00,B-002,90,None,0,2.0,0.0,0
2015-11-04 09:00:00,B-002,90,COMP30190,29,14.0,0.25,1
2015-11-05 09:00:00,B-002,90,None,0,2.1667,0.0,0
2015-11-06 09:00:00,B-002,90,COMP30220,38,2.6667,0.0,0
2015-11-09 09:00:00,B-002,90,COMP30190,29,14.8333,0.25,1
2015-11-10 09:00:00,B-002,90,None,0,1.0,0.0,0
2015-11-11 09:00:00,B-002,90,COMP30190,29,12.8333,0.25,1
2015-11-12 09:00:00,B-002,90,None,0,4.0,0.0,0
2015-11-13 09:00:00,B-002,90,COMP30220,38,6.5,0.0,0
2015-11-03 10:00:00,B-002,90,COMP30110,45,29.0,0.5,1
2015-11-04 10:00:00,B-002,90,COMP40660,53,14.1667,0.25,1
2015-11-05 10:00:00,B-002,90,COMP30110,45,33.1667,0.5,1
2015-11-06 10:00:00,B-002,90,None,0,3.5,0.0,0
2015-11-09 10:00:00,B-002,90,COMP40660,53,17.5,0.25,1
2015-11-10 10:00:00,B-002,90,COMP30110,45,24.4,0.0,0
2015-11-11 10:00:00,B-002,90,COMP40660,53,10.1667,0.0,0
2015-11-12 10:00:00,B-002,90,COMP30110,45,27.1667,0.25,1
2015-11-13 10:00:00,B-002,90,None,0,7.0,0.0,0
2015-11-03 11:00:00,B-002,90,COMP30260,18,27.25,0.5,1
2015-11-04 11:00:00,B-002,90,COMP30250,22,8.0,0.25,1
2015-11-05 11:00:00,B-002,90,COMP40370,27,31.6667,0.25,1
2015-11-06 11:00:00,B-002,90,COMP30190P1,29,17.0,0.25,1
2015-11-09 11:00:00,B-002,90,None,0,7.1667,0.0,0
2015-11-10 11:00:00,B-002,90,COMP30260,18,19.3333,0.25,1
2015-11-11 11:00:00,B-002,90,COMP30250,22,10.6667,0.25,1
2015-11-12 11:00:00,B-002,90,COMP40370,27,29.0,0.25,1
2015-11-13 11:00:00,B-002,90,COMP30190P1,29,11.0,0.0,0
2015-11-03 12:00:00,B-002,90,COMP40370,27,11.8333,0.5,1
2015-11-04 12:00:00,B-002,90,COMP41690 (Practical),60,36.0,0.5,1
2015-11-05 12:00:00,B-002,90,COMP30260,18,20.8333,0.25,1
2015-11-06 12:00:00,B-002,90,COMP30190P1,29,14.3333,0.25,1
2015-11-09 12:00:00,B-002,90,COMP30250,22,16.6667,0.25,1
2015-11-10 12:00:00,B-002,90,COMP40370,27,31.8333,0.25,1
2015-11-11 12:00:00,B-002,90,COMP41690 (Practical),60,41.1667,0.25,1
2015-11-12 12:00:00,B-002,90,COMP30260,18,13.8333,0.25,1
2015-11-13 12:00:00,B-002,90,COMP30190P1,29,15.2,0.0,0
2015-11-03 13:00:00,B-002,90,None,0,13.3333,0.0,0
2015-11-04 13:00:00,B-002,90,COMP41690 (Lecture),60,22.3333,0.0,0
2015-11-05 13:00:00,B-002,90,COMP47290,0,10.0,0.25,1
2015-11-06 13:00:00,B-002,90,COMP30170,51,9.8,0.25,1
2015-11-09 13:00:00,B-002,90,COMP41690,60,35.8333,0.25,1
2015-11-10 13:00:00,B-002,90,None,0,9.0,0.25,1
2015-11-11 13:00:00,B-002,90,COMP41690 (Lecture),60,18.0,0.25,1
2015-11-12 13:00:00,B-002,90,COMP47290,0,6.1667,0.0,0
2015-11-13 13:00:00,B-002,90,COMP30170,51,13.5,0.0,0
2015-11-03 14:00:00,B-002,90,COMP30240P1,42,48.0,0.75,1
2015-11-04 14:00:00,B-002,90,COMP30220,38,24.1667,0.25,1
2015-11-05 14:00:00,B-002,90,COMP30240,42,29.5,0.25,1
2015-11-06 14:00:00,B-002,90,COMP30240,42,34.4286,0.25,1
2015-11-09 14:00:00,B-002,90,COMP30260,18,11.4,0.25,1
2015-11-10 14:00:00,B-002,90,COMP30240P1,42,43.25,0.5,1
2015-11-11 14:00:00,B-002,90,COMP30220,38,16.2,0.0,0
2015-11-12 14:00:00,B-002,90,COMP30240,42,29.0,0.5,1
2015-11-13 14:00:00,B-002,90,COMP30240,42,17.8333,0.25,1
2015-11-03 15:00:00,B-002,90,COMP30240P1,42,35.8,0.25,1
2015-11-04 15:00:00,B-002,90,COMP30520 & COMP41110,79,5.1667,0.0,0
2015-11-05 15:00:00,B-002,90,COMP30520P1,60,51.0,0.5,1
2015-11-06 15:00:00,B-002,90,None,0,36.1667,0.5,1
2015-11-09 15:00:00,B-002,90,None,0,13.6667,0.25,1
2015-11-10 15:00:00,B-002,90,COMP30240P1,42,42.3333,0.5,1
2015-11-11 15:00:00,B-002,90,COMP30520 & COMP41110,79,30.6667,0.25,1
2015-11-12 15:00:00,B-002,90,COMP30520P1,60,64.8333,0.25,1
2015-11-13 15:00:00,B-002,90,None,0,15.0,0.25,1
2015-11-03 13:00:00,B-003,90,Career opportunities talks,0,10.1667,0.0,0
2015-11-04 13:00:00,B-003,90,COMP30080P1,73,88.1667,0.75,1
2015-11-05 13:00:00,B-003,90,Career opportunities talks,0,33.8333,0.25,1
2015-11-06 13:00:00,B-003,90,None,0,15.8,0.0,0
2015-11-09 13:00:00,B-003,90,None,0,29.5,0.25,1
2015-11-10 13:00:00,B-003,90,Career opportunities talks,0,8.8333,0.25,1
2015-11-11 13:00:00,B-003,90,COMP30080P1,73,89.5,0.75,1
2015-11-12 13:00:00,B-003,90,Career opportunities talks,0,13.6667,0.0,0
2015-11-13 13:00:00,B-003,90,None,0,15.6667,0.0,0
2015-11-03 14:00:00,B-003,90,None,0,31.6667,0.5,1
2015-11-04 14:00:00,B-003,90,COMP47300P1,0,14.1667,0.0,0
2015-11-05 14:00:00,B-003,90,COMP47300,0,15.0,0.25,1
2015-11-06 14:00:00,B-003,90,COMP30080P2,65,55.5714,0.75,1
2015-11-09 14:00:00,B-003,90,COMP30010P2,33,34.4,0.25,1
2015-11-10 14:00:00,B-003,90,None,0,23.5,0.25,1
2015-11-11 14:00:00,B-003,90,COMP47300P1,0,38.2,0.5,1
2015-11-12 14:00:00,B-003,90,COMP47300,0,18.5,0.25,1
2015-11-13 14:00:00,B-003,90,COMP30080P2,65,46.5,0.5,1
2015-11-03 15:00:00,B-003,90,None,0,19.2,0.25,1
2015-11-04 15:00:00,B-003,90,COMP47300P1,0,14.1667,0.0,0
2015-11-05 15:00:00,B-003,90,COMP47290P1,0,8.6667,0.0,0
2015-11-06 15:00:00,B-003,90,COMP30080P2,65,49.5,0.75,1
2015-11-09 15:00:00,B-003,90,COMP30010P2,33,26.8333,0.25,1
2015-11-10 15:00:00,B-003,90,None,0,16.1667,0.25,1
2015-11-11 15:00:00,B-003,90,COMP47300P1,0,3.1667,0.25,1
2015-11-12 15:00:00,B-003,90,COMP47290P1,0,13.1667,0.25,1
2015-11-13 15:00:00,B-003,90,COMP30080P2,65,40.3333,0.25,1
2015-11-03 16:00:00,B-003,90,None,0,9.3333,0.0,0
2015-11-04 16:00:00,B-003,90,None,0,6.0,0.0,0
2015-11-05 16:00:00,B-003,90,COMP47290P1,0,10.0,0.0,0
2015-11-06 16:00:00,B-003,90,None,0,13.8333,0.5,1
2015-11-09 16:00:00,B-003,90,COMP30060P1,35,13.3333,0.25,1
2015-11-10 16:00:00,B-003,90,None,0,4.3333,0.0,0
2015-11-11 16:00:00,B-003,90,None,0,21.5,0.5,1
2015-11-12 16:00:00,B-003,90,COMP47290P1,0,14.6667,0.0,0
2015-11-13 16:00:00,B-003,90,None,0,16.6667,0.25,1
2015-11-03 09:00:00,B-003,90,None,0,1.8333,0.0,0
2015-11-04 09:00:00,B-003,90,COMP47300 (Lecture),0,2.4,0.0,0
2015-11-05 09:00:00,B-003,90,COMP30060,42,13.3333,0.0,0
2015-11-06 09:00:00,B-003,90,COMP20020P2,45,26.3333,0.25,1
2015-11-09 09:00:00,B-003,90,COMP20020P1,53,30.0,0.5,1
2015-11-10 09:00:00,B-003,90,None,0,2.5,0.0,0
2015-11-11 09:00:00,B-003,90,COMP47300 (Lecture),0,1.0,0.0,0
2015-11-12 09:00:00,B-003,90,COMP30060,42,6.0,0.0,0
2015-11-13 09:00:00,B-003,90,COMP20020P2,45,22.6667,0.5,1
2015-11-03 10:00:00,B-003,90,None,0,6.3333,0.75,1
2015-11-04 10:00:00,B-003,90,COMP47300 (Practical)P1,0,15.1667,0.25,1
2015-11-05 10:00:00,B-003,90,None,0,31.6667,0.25,1
2015-11-06 10:00:00,B-003,90,COMP20020P2,45,46.6667,0.75,1
2015-11-09 10:00:00,B-003,90,COMP20020P1,53,38.75,0.25,1
2015-11-10 10:00:00,B-003,90,None,0,12.8,0.0,0
2015-11-11 10:00:00,B-003,90,COMP47300 (Practical)P1,0,9.0,0.0,0
2015-11-12 10:00:00,B-003,90,None,0,4.5,0.0,0
2015-11-13 10:00:00,B-003,90,COMP20020P2,45,28.0,0.5,1
2015-11-03 11:00:00,B-003,90,COMP10280,56,65.0,0.75,1
2015-11-04 11:00:00,B-003,90,COMP47300 (Practical)P1,0,17.5,0.0,0
2015-11-05 11:00:00,B-003,90,None,0,18.3333,0.25,1
2015-11-06 11:00:00,B-003,90,COMP47290P2,0,23.6667,0.25,1
2015-11-09 11:00:00,B-003,90,COMP30010P1,45,34.3333,0.5,1
2015-11-10 11:00:00,B-003,90,COMP10280,56,60.0,0.5,1
2015-11-11 11:00:00,B-003,90,COMP47300 (Practical)P1,0,13.8333,0.75,1
2015-11-12 11:00:00,B-003,90,None,0,9.1667,0.25,1
2015-11-13 11:00:00,B-003,90,COMP47290P2,0,20.1667,0.25,1
2015-11-03 12:00:00,B-003,90,None,0,17.3333,0.25,1
2015-11-04 12:00:00,B-003,90,COMP30080P1,73,88.6,0.75,1
2015-11-05 12:00:00,B-003,90,COMP10280,56,46.8333,0.5,1
2015-11-06 12:00:00,B-003,90,COMP47290P2,0,25.5,0.25,1
2015-11-09 12:00:00,B-003,90,COMP30010P1,45,49.1667,0.5,1
2015-11-10 12:00:00,B-003,90,None,0,26.8333,0.5,1
2015-11-11 12:00:00,B-003,90,COMP30080P1,73,92.0,0.75,1
2015-11-12 12:00:00,B-003,90,COMP10280,56,68.6667,0.25,1
2015-11-13 12:00:00,B-003,90,COMP47290P2,0,27.0,0.25,1
2015-11-03 10:00:00,B-004,220,COMP10130,112,102.833,0.5,1
2015-11-04 10:00:00,B-004,220,None,0,3.6667,0.0,0
2015-11-05 10:00:00,B-004,220,MATH10130,56,40.3333,0.25,1
2015-11-06 10:00:00,B-004,220,MATH10200,96,66.1667,0.5,1
2015-11-09 10:00:00,B-004,220,None,0,32.5,0.25,1
2015-11-10 10:00:00,B-004,220,COMP10130,112,123.0,0.25,1
2015-11-11 10:00:00,B-004,220,None,0,1.1667,0.0,0
2015-11-12 10:00:00,B-004,220,MATH10130,56,36.5,0.5,1
2015-11-13 10:00:00,B-004,220,MATH10200,96,57.1667,0.0,0
2015-11-03 11:00:00,B-004,220,COMP20070,107,65.5,0.5,1
2015-11-04 11:00:00,B-004,220,COMP20020,98,61.3333,0.25,1
2015-11-05 11:00:00,B-004,220,COMP30080,139,70.0,0.25,1
2015-11-06 11:00:00,B-004,220,COMP30070,84,31.6667,0.25,1
2015-11-09 11:00:00,B-004,220,None,0,35.5,0.25,1
2015-11-10 11:00:00,B-004,220,COMP20070,107,69.6667,0.25,1
2015-11-11 11:00:00,B-004,220,COMP20020,98,51.1667,0.25,1
2015-11-12 11:00:00,B-004,220,COMP30080,139,69.0,0.25,1
2015-11-13 11:00:00,B-004,220,COMP30070,84,34.1667,0.0,0
2015-11-03 12:00:00,B-004,220,COMP30080,139,110.0,0.5,1
2015-11-04 12:00:00,B-004,220,COMP20130,74,72.6,0.5,1
2015-11-05 12:00:00,B-004,220,COMP20070,107,50.1667,0.25,1
2015-11-06 12:00:00,B-004,220,None,0,1.5,0.25,1
2015-11-09 12:00:00,B-004,220,COMP20020,98,66.3333,0.25,1
2015-11-10 12:00:00,B-004,220,COMP30080,139,91.3333,0.25,1
2015-11-11 12:00:00,B-004,220,COMP20130,74,71.5,0.25,1
2015-11-12 12:00:00,B-004,220,COMP20070,107,52.3333,0.25,1
2015-11-13 12:00:00,B-004,220,None,0,5.0,0.0,0
2015-11-03 13:00:00,B-004,220,COMP20110,103,55.1667,0.5,1
2015-11-04 13:00:00,B-004,220,None,0,14.8333,0.0,0
2015-11-05 13:00:00,B-004,220,COMP10110,113,101.167,0.5,1
2015-11-06 13:00:00,B-004,220,COMP20110,103,48.4,0.5,1
2015-11-09 13:00:00,B-004,220,None,0,7.0,0.25,1
2015-11-10 13:00:00,B-004,220,COMP20110,103,56.5,0.25,1
2015-11-11 13:00:00,B-004,220,None,0,7.1667,0.0,0
2015-11-12 13:00:00,B-004,220,COMP10110,113,85.5,0.5,1
2015-11-13 13:00:00,B-004,220,COMP20110,103,24.8333,0.0,0
2015-11-03 14:00:00,B-004,220,STAT40150,0,75.6667,0.25,1
2015-11-04 14:00:00,B-004,220,None,0,9.1667,0.0,0
2015-11-05 14:00:00,B-004,220,ENVB30110,83,69.5,0.25,1
2015-11-06 14:00:00,B-004,220,COMP10110,113,128.286,0.25,1
2015-11-09 14:00:00,B-004,220,SCI30060,66,43.0,0.25,1
2015-11-10 14:00:00,B-004,220,STAT40150,0,71.0,0.5,1
2015-11-11 14:00:00,B-004,220,None,0,12.4,0.0,0
2015-11-12 14:00:00,B-004,220,ENVB30110,83,52.3333,0.5,1
2015-11-13 14:00:00,B-004,220,COMP10110,113,117.0,0.5,1
2015-11-03 15:00:00,B-004,220,COMP20010,108,58.8,0.25,1
2015-11-04 15:00:00,B-004,220,COMP30070,84,1.1667,0.0,0
2015-11-05 15:00:00,B-004,220,None,0,0.1667,0.0,0
2015-11-06 15:00:00,B-004,220,COMP30220,38,10.5,0.0,0
2015-11-09 15:00:00,B-004,220,COMP41110,19,77.5,0.5,1
2015-11-10 15:00:00,B-004,220,COMP20010,108,65.0,0.25,1
2015-11-11 15:00:00,B-004,220,COMP30070,84,37.0,0.0,0
2015-11-12 15:00:00,B-004,220,None,0,0.3333,0.25,1
2015-11-13 15:00:00,B-004,220,COMP30220,38,4.0,0.5,1
2015-11-03 16:00:00,B-004,220,None,0,6.3333,0.0,0
2015-11-04 16:00:00,B-004,220,None,0,0.75,0.0,0
2015-11-05 16:00:00,B-004,220,COMP20010,108,0.0,0.0,0
2015-11-06 16:00:00,B-004,220,None,0,1.3333,0.0,0
2015-11-09 16:00:00,B-004,220,None,0,6.8333,0.25,1
2015-11-10 16:00:00,B-004,220,None,0,1.1667,0.0,0
2015-11-11 16:00:00,B-004,220,None,0,2.1667,0.0,0
2015-11-12 16:00:00,B-004,220,COMP20010,108,57.1667,0.0,0
2015-11-13 16:00:00,B-004,220,None,0,0.1667,0.0,0
2015-11-03 09:00:00,B-004,220,COMP41450 & COMP30120,143,123.167,0.75,1
2015-11-04 09:00:00,B-004,220,COMP30010,79,32.6,0.25,1
2015-11-05 09:00:00,B-004,220,COMP41450 & COMP30120,143,226.833,1.0,1
2015-11-06 09:00:00,B-004,220,None,0,9.1667,0.0,0
2015-11-09 09:00:00,B-004,220,COMP30010,79,29.1667,0.25,1
2015-11-10 09:00:00,B-004,220,COMP41450 & COMP30120,143,67.8333,0.25,1
2015-11-11 09:00:00,B-004,220,COMP30010,79,24.3333,0.0,0
2015-11-12 09:00:00,B-004,220,COMP41450 & COMP30120,143,91.0,0.5,1
2015-11-13 09:00:00,B-004,220,None,0,4.3333,0.0,0
